SKU,Product name,Source,ingredient,Net weight,Nutrition facts?,Serving per package,Serving size,Nutrition facts,
8809646510131,Bánh Gạo Người Tuyết Khởi Thịnh 500G,"topsmarket,bachhoaxanh","gạo (99%), muối tinh luyện (0.6%), rượu etylic (Ethy Alcohol (0.3%)), chất điều chỉnh độ (Acid Citric (0.1%)))",500 g,No,,,,#VALUE!
8936080160711,Bánh Gạo Hàn Quốc Jofood 500G,"topsmarket,bachhoaxanh","Gạo (87.8%), nước, cồn thực phẩm, muối",500 g,No,,,,#VALUE!
8936204030623,Nguyên Liệu Nấu Canh Mướp Mồng Tơi An Lạc 450G,"topsmarket,bachhoaxanh",Mồng tơi 66% mướp 34%,450 g,No,,,,#VALUE!
8936204030647,Nguyên Liệu Cơm Chiên Dương Châu An Lạc 150G,"topsmarket,bachhoaxanh","Cà rốt 38%, bắp hạt 25%, đậu que 25%, đậu hà lan 12%",150 g,No,,,,#VALUE!
8936204030135,Khoai Mì Làm Sạch An Lạc 300G,"topsmarket,bachhoaxanh",Khoai mì 100%,300 g,No,,,,#VALUE!
8936204030302,Nguyên Liệu Tươi Kho Sả Ớt An Lạc 80G,"topsmarket,bachhoaxanh","Sả bào 75%, nghệ 13%, củ tỏi 6%, ớt trái 6%",80 g,No,,,,#VALUE!
8936204030418,Khoai Môn Làm Sạch An Lạc 300G,"topsmarket,bachhoaxanh",Khoai mì 100%,300 g,No,,,,#VALUE!
8936204030456,Củ Hủ Dừa Làm Sạch An Lạc 300G,"topsmarket,bachhoaxanh",Củ hủ dùa 100%,300 g,No,,,,#VALUE!
8936204030616,Bí Đỏ Làm Sạch An Lạc 350G,"topsmarket,bachhoaxanh","Bí đỏ 96%, ngò ôm 25%, ngò gai 2%",350 g,No,,,,#VALUE!
8936204030265,Nguyên Liệu Tươi Kho Tiêu Xanh An Lạc 60G,"topsmarket,bachhoaxanh","Tiêu xanh 50%, củ tỏi 17%, củ hành tím 17%, ớt trái 16%",60 g,No,,,,#VALUE!
8936204030586,Đậu Tươi Hỗn Hợp An Lạc 100G,"topsmarket,bachhoaxanh","ĐẬU TRẮNG, ĐẬU ĐỎ, ĐẬU NGỰ VÀ ĐẬU HÀ LAN",100 g,No,,,,#VALUE!
8934707027898,Trà Đào Lipton Hòa Tan Tươi Mát Tỉnh Người 16 Gói 14G,"topsmarket,bachhoaxanh","Đường, Chất điều chỉnh độ acid (INS 330), Hương đào tổng hợp, Tinh chất trà đen (0,7 %), Màu tổng hợp (Caramen nhóm IV - INS 150d), Muối i-ốt, Vitamin C (Acid L-ascorbic) (0,3 %) và Chất tạo ngọt tổng hợp (Aspartam-INS 951, Acesulfam kali - INS 950, Sucralose - INS 955). Sản phẩm có chứa sulphite",224 g,Yes,,14 g,"energy,55 kcal,sodium,0.01 g,carbohydrate,14 g,total sugars,14 g,vitamin C,41 mg",#VALUE!
8934716010536,Nước Tinh Khiết Sapuwa 330ML,"topsmarket,bachhoaxanh",nước,330 ml,Yes,,1 l,"no2,<=3 mg,no3,<= 50mg,Fluorid,<= 1.5 mg,sodium,<= 200mg,manganese,<= 0.4 mg",#VALUE!
8936061260478,Bia Sapporo 100 Premium 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, HOA BIA",330 ml,No,,,,#VALUE!
8936061260485,Thùng 24 Lon Bia Sapporo 100 Premium 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8936036201420,Bia Hoegaarden Rosée 248ML,"topsmarket,bachhoaxanh","Nước, mạch nha, lúa mì, đường, nước ép táo cô đặc, nước ép quả mâm xôi cô đặc, nước ép cà rốt cô đặc, hương thực phẩm tự nhiên, hoa Houblon, hạt rau mùi, vỏ cam, men bia",248 ml,No,,,,#VALUE!
8934716010102,Nước Tinh Khiết Sapuwa 500ML,"topsmarket,bachhoaxanh",nước,500 ml,Yes,,1 l,"no2,<=3mg,no3,<= 50mg,Fluorid,<= 1.5 mg,sodium,<= 200mg,manganese,<= 0.4 mg",#VALUE!
8936094291326,Thùng 12 Lon Bia Budweiser 500ML,"topsmarket,bachhoaxanh","nước , mạch nha, gạo, hoa bia",500 ml,No,,,,#VALUE!
6915878221577,Bia Corona Chai 330ML,"topsmarket,bachhoaxanh","WATER, BARLEY MALT, RICE, CORN, HOPS (NƯỚC, ĐẠI MẠCH, GẠO, BẮP,  HOA BIA )",330 ml,No,,,,#VALUE!
8934588732423,Thùng 24 Lon Nước Ngọt Mirinda Soda Kem Việt Quất 320ML,"topsmarket,bachhoaxanh","Nước bão hòa CO2, đường, hỗn hợp hương soda kem và hương việt quất giống tự nhiên, chất điều chỉnh độ acid (330), chất ổn định (452(i), chất tạo ngọt tổng hợp (Acesulfam Kali 950, Sucralose (Triclorogalacto sucrose) 955), chất bảo quản (211), chất chống oxy hóa (385), màu tổng hợp (Allura red AC 129, Brilliant blue FCF 133)",320 ml,Yes,,320 ml,"energy,59 kcal,carbohydrate,14.75 g,total sugars,14.72 g,sodium,64.4 g",#VALUE!
8934588732119,Nước Ngọt Mirinda Soda Kem Việt Quất Lon 320ML,"topsmarket,bachhoaxanh","Nước bão hòa CO2, đường, hỗn hợp hương soda kem và hương việt quất giống tự nhiên, chất điều chỉnh độ acid (330), chất ổn định (452(i), chất tạo ngọt tổng hợp (Acesulfam Kali 950, Sucralose (Triclorogalacto sucrose) 955), chất bảo quản (211), chất chống oxy hóa (385), màu tổng hợp (Allura red AC 129, Brilliant blue FCF 133)",320 ml,Yes,,320 ml,"energy,59 kcal,carbohydrate,14.75 g,total sugars,14.72 g,sodium,64.4 g",#VALUE!
8934822813338,Thùng 24 Lon Bia Tiger Crystal 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8934822842338,Thùng 20 Lon Bia Tiger Crystal 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8934822201319,Thùng 24 Lon Bia Heineken Silver 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, HOA BIA",330 ml,Yes,,100 ml,"energy,35 kcal",#VALUE!
