term,count
energy,3701
carbohydrate,3253
protein,3021
total fat,2689
sodium,1746
total sugars,1508
saturated fat,1030
calcium,896
dietary fiber,788
vitamin a,471
vitamin b6,340
iron,340
energy from fat,332
potassium,296
vitamin b1,295
magnesium,284
vitamin d3,281
vitamin b2,277
zinc,271
cholesterol,269
vitamin b12,253
phosphorus,251
vitamin e,250
vitamin c,247
lipid,218
dha,176
salt,137
biotin,131
vitamin b3,126
follic acid,118
iot,118
fat,118
moisture,117
proteins,115
niacin,111
selen,109
sugars,108
vitamin d,102
cl,101
acid linoleic,98
carbohydrates,95
pantothenic acid,93
omega 6 fatty acids,89
vitamin k1,89
acid alpha linoleic,87
trans fat,86
added sugar,82
omega 9 fatty acids,80
taurin,77
manganese,76
monounsaturated fat,72
cu,71
polyunsaturated fat,66
omega,64
taurine,62
lysin,60
cholline,57
lutein,55
total energy,54
vitamin b5,52
of which sugars,50
ara,49
omega 3,48
inositol,45
total carbohydrate,45
protid,43
vitamin pp,43
nucleotid,43
of which saturates,40
fiber,39
vitamin k2,33
tryptophan,33
vitamin b9,30
2 fl hmo,30
gos,29
iodine,26
acid folic,26
oligofructose fos,24
litpit,23
carnitin,23
fibre,23
selenium,23
tea polyphenol,22
fluorid,21
soluble dietary fiber,21
tds,20
acid amin,20
aa,20
te vitamin k1,19
ntp,19
bicarbonate hco3,18
beta caroten,18
nh3,18
total carbohydrates,18
mct,17
gamma oryzanol,17
copper,17
unsaturated fat,16
acid pantothenic,15
α te vitamin k1,14
chloride,14
re vitamin d3,13
of which saturated,13
ash,12
lysine,11
collagen,10
phytosterol,10
lactoferrin,10
lactulose,10
acid alpha linolenic,10
caffeine,9
crude fiber,9
vitamin k,9
mufa,9
alpha lactalbumin,9
no3,8
otpp,8
lodide u,8
re,8
beta glucan,8
sodium 1,8
choline,8
chromium,8
molybdenum,8
fibres,8
h2sio3,7
lactoza,7
bifidus bl,7
raffinose,7
re vitamin b1,7
dha docosahexaenoic acid,7
cholin,7
vitamin b8,6
molybden,6
igg,6
pufa,6
dietary fibre,6
so2,5
theanin,5
dietary fiber 1 g total sugars,5
