query,match,score
este của i sucrose với các axít béo,este của sucrose với các axít béo,62.056896
este của i sucrose với các axít béo,este của sucrose với các axít béo e473,51.824036
dè cá,cá,8.007265
dè cá,từ cá,7.4861193
sirô fructose,sirô fructose bắp,21.268356
sirô fructose,sirô glucose fructose,15.900025
chất tạo màu tổng hợp allura red ac,chất tạo màu allura red ac tổng hợp,34.56249
chất tạo màu tổng hợp allura red ac,"e129 , Allura red AC , Allura red AC",32.570236
siro tinh bột,tinh bột,15.877445
siro tinh bột,xiro tinh bột,15.090178
magnesi,"e530 , Oxyd magnesi , Magnesium oxide",8.922115
magnesi,magnesi stearat,8.7739725
chất chồng vốn,chất chồng đồng vón,14.507223
chất chồng vốn,chất chồng đông vón,14.507223
tỏi ngâm chua,tỏi,9.514341
tỏi ngâm chua,tỏi tươi,8.895108
hành hồng mắm ruốc,mắm ruốc,24.30674
hành hồng mắm ruốc,ruốc,11.792564
riz gluant,le riz gluant,25.146519
riz gluant,riz,12.648787
hỗn hợp vitamin nd inf p,hon hop vitamin nd inf p,44.580837
hỗn hợp vitamin nd inf p,hỗn hợp vitamin nd inf 0,44.234596
bột gia vị sườn nướng bbq brazil,bột gia vị sườn nướng bbq  nuối iốt,46.8224
bột gia vị sườn nướng bbq brazil,bột gia vị,17.77068
"e576 , Natri gluconat , Sodium gluconate",e576,27.868752
"e576 , Natri gluconat , Sodium gluconate","e577 , Kali gluconat , Potassium gluconate",15.387872
dầu hành tây,hành tây,17.931412
dầu hành tây,dầu hành,17.847237
kinh giới,lá kinh giới,24.716286
kinh giới,tốt cho sức khỏe theo xu hướng sống khỏe trên thế giới,6.8857746
nước ép lý chua đỏ cô đặc,nước ép nho đỏ cô đặc,33.92122
nước ép lý chua đỏ cô đặc,nước ép lý chua đen,33.386486
e160 c,e160,11.792564
e160 c,e160 a,11.025056
nước vải từ nước ép vải cô đặc,nước ép quýt từ nước ép quýt cô đặc,27.526691
nước vải từ nước ép vải cô đặc,nước ép nho từ nước ép nho cô đặc,27.526691
huile végétole,huile coprah,9.340734
huile végétole,huile d'olive,9.340734
bí xanh,nhân bí xanh,21.072256
bí xanh,bí ngòi,10.329372
chất ổn định e471,chất ổn định,19.135927
chất ổn định e471,chất ổn định e415,18.293903
hương của tổng hợp,hương của giống tự nhiên,14.095585
hương của tổng hợp,hương tổng hợp,13.569258
xốt đường đen,đường đen,19.274174
xốt đường đen,nước đường đen,18.370277
polyphosphate,sodium polyphosphate,9.871138
polyphosphate,natri polyphosphate,9.871138
"e1413 , Phosphated distarch phosphat , Phosphated distarch phosphate","e1412 , Distarch phosphat , Distarch phosphate",33.046158
"e1413 , Phosphated distarch phosphat , Phosphated distarch phosphate","e1442 , Hydroxypropyl distarch phosphat , Hydroxypropyl distarch phosphate",30.658623
hướng hạt dẻ tổng hợp dùng cho thực phẩm,hướng dâu tổng hợp dùng cho thực phẩm,41.798054
hướng hạt dẻ tổng hợp dùng cho thực phẩm,hướng sô cô la tổng hợp dùng cho thực phẩm,38.98979
gỉa thịt,thịt,9.384772
gỉa thịt,bột thịt,8.7739725
dầu thực vật từ,dầu thực vật từ mortierella,30.412952
dầu thực vật từ,dầu thực vật từ mortierella alpina,29.20672
chanh nhuyễn,chanh,10.088137
