query,match,score,jacc_score
đường,đường mía,5.389518,1.0
đường,đường hfcs,5.389518,1.0
đường,đường glucose,5.389518,1.0
đường,đường kính,5.389518,1.0
đường,đường lactose,5.389518,1.0
đường,đường dextrose,5.389518,1.0
đường,đường sucrose,5.389518,1.0
đường,đường trắng,5.389518,1.0
đường,đường cát,5.389518,1.0
muối,muối ăn,6.206688,1.0
muối,muối iốt,6.206688,1.0
muối,muối lốt,6.206688,1.0
muối,muối tinh,6.206688,1.0
muối,muối iod,6.206688,1.0
muối,nước muối,6.206688,1.0
muối,muối biển,6.206688,1.0
muối,muối tốt,6.206688,1.0
muối,muối lod,6.206688,1.0
nước,nước mắm,4.813157,1.0
nước,nước tương,4.813157,1.0
nước,nước đường,4.813157,1.0
nước,nước sạch,4.813157,1.0
nước,nước muối,4.813157,1.0
nước,nước đá,4.813157,1.0
nước,nước ép,4.813157,1.0
nước,nước dừa,4.813157,1.0
nước,nước chanh,4.813157,1.0
chất điều vị,chất điều vị chua,15.684526,1.0
chất điều vị,chứa chất điều vị,15.684526,1.0
chất điều vị,muốn chất điều vị,15.684526,1.0
chất điều vị,đường chất điều vị,15.684526,1.0
chất điều vị,chất điều vị gồm,15.684526,1.0
chất điều vị,chất điều vị mononatri glutamat,14.962142,1.0
chất điều vị,chất điều vị dirstri5' ribonucleotid,14.962142,1.0
chất điều vị,chất điều vị monosodium glutamate,14.962142,1.0
chất điều vị,chất điều vị mononatril glutamat,14.962142,1.0
chất ổn định,chất ổn định e420_ii,20.241682,1.0
chất ổn định,chất ổn định màu,20.241682,1.0
chất ổn định,nước chất ổn định,20.241682,1.0
chất ổn định,chất ổn định dextrin,20.241682,1.0
chất ổn định,chất ổn định sirô,20.241682,1.0
chất ổn định,chất ổn định lumen,20.241682,1.0
chất ổn định,chất ổn định monoglyceride,20.241682,1.0
chất ổn định,hỗn hợp chất ổn định,19.26781,1.0
chất ổn định,có chứa chất ổn định,19.26781,1.0
chất điều chỉnh độ acid,chất điều chỉnh độ acid acid malic,32.533783,1.0
chất điều chỉnh độ acid,chất điều chỉnh độ độ acid,31.973064,1.0
chất điều chỉnh độ acid,chứa chất điều chỉnh độ acid,31.96813,1.0
chất điều chỉnh độ acid,caramen nhóm má chất điều chỉnh độ acid,29.71505,1.0
chất điều chỉnh độ acid,chất điều chỉnh độ e acid,29.114155,1.0
