đường,4619
muối,3376
nước,2560
chất điều vị,2308
e621,1908
chất ổn định,1796
chất điều chỉnh độ acid,1724
chất nhũ hóa,1506
bột mì,1456
e330,1438
dầu thực vật,1314
chất bảo quản,1164
dầu cọ,1096
đậu nành,1081
tỏi,1016
chất chống oxy hóa,968
sữa,907
e627,885
e631,876
ớt,774
muối i ốt,763
chất tạo xốp,727
chất làm dày,693
tiêu,681
e471,675
maltodextrin,674
e451_i,608
e500_ii,588
chất tạo ngọt tổng hợp,558
e202,547
e211,543
e322_i,540
trứng,529
e321,515
e466,497
e320,496
e452_i,492
e415,491
e412,490
chiết xuất nấm men,471
sữa bột,467
nước mắm,466
lúa mì,465
tinh bột khoai mì,461
e407,439
chất điều chỉnh độ axit,433
phẩm màu tự nhiên,429
đường tinh luyện,422
muối ăn,420
e551,414
e500_i,396
hành,396
e450_i,393
màu tự nhiên,391
gạo,376
gia vị,376
cà rốt,368
thịt heo,366
chất chống đông vón,362
e951,357
tổng hợp,356
e1422,355
b6,348
phẩm màu tổng hợp,347
acid citric,331
e950,320
tinh bột khoai tây,319
e296,316
vắt mì,315
tinh bột bắp,312
e635,309
màu thực phẩm tổng hợp,296
dầu đậu nành,296
mạch nha,290
a,284
hành tây,284
chất béo sữa,282
bột ớt,282
bơ,274
e110,271
tôm,271
vitamin,269
gừng,269
e133,262
d3,261
e1420,255
hành lá sấy,251
nước tương,251
shortening,247
bột tỏi,246
e331_iii,244
b1,244
e102,238
chất béo thực vật,238
chất chống oxy hoá,233
e440,232
bột gạo,232
hành tím,228
e501_i,225
bột cacao,225
mononatri glutamat,224
e150a,219
b12,216
cá,214
paprika oleoresin,213
mỡ heo,212
e262_i,211
e316,208
e475,207
màu tổng hợp,206
bht,206
bột sữa,205
e160c,204
e100_i,204
bột tôm,203
đạm đậu nành,203
hành lá,200
hương liệu tổng hợp,198
lactose,198
e129,197
mononatri l glutamat,196
thịt gà,195
đậu phộng,194
e120,193
e322,193
e300,192
dinatri e5' guanylat,192
vani,191
bột tiêu,191
xem thông tin trên bao bì sản phẩm,191
hương tổng hợp,190
bột whey,188
bha,187
dinatri e5' inosinat,187
e503_ii,186
vitamin c,185
e955,185
sản phẩm có chứa sữa,181
có chứa sữa,179
hương tự nhiên,176
e270,176
cà chua,176
chất nhũ hoá,175
chất làm dầy,175
bột bắp,174
dầu cọ tinh luyện,173
giống tự nhiên,172
gelatin,171
nước bão hòa co2,169
sữa tươi,169
lecithin,168
các vitamin,167
e150d,166
tinh bột,166
acid folic,166
chất làm ẩm,165
phẩm màu,162
e160a_i,162
tinh bột sắn,160
biotin,159
b2,159
e325,159
e150c,156
sucralose,155
e250,155
đường mía,152
e410,151
dầu dừa,151
taurin,150
e364_ii,150
dầu mè,150
dầu hướng dương,150
chất làm bóng,149
tinh bột biến tính,148
e307b,148
e422,146
các gia vị,144
b3,143
khoáng chất,143
e1412,142
hoa bia,141
bột hành,141
acesulfam kali,138
hương liệu,138
bột lúa mì,138
e414,137
dextrose,137
natri ascorbat,137
các gói gia vị,137
bột gia vị,137
glucose,136
hương vani tổng hợp,136
yến mạch,136
vitamin e,134
curcumin,134
dâu,133
e450_iii,133
kali iodid,133
hương liệu tự nhiên,132
sữa bột nguyên kem,131
hạnh nhân,131
gói gia vị,131
vitamin a,130
gluten lúa mì,130
muối iốt,130
calci carbonat,130
e,128
chất giữ ẩm,127
natri selenit,127
tự nhiên,126
lecithin đậu nành,126
e260,126
aspartam,125
sả,125
giấm,124
xirô glucoza,123
e420_i,122
khoai tây,121
sugar,121
đường hfcs,120
protein đậu nành,117
e903,117
chất tạo ngọt,116
bột nước tương,116
sunset yellow fcf,114
chiết xuất ớt,114
ngũ cốc,113
vitamin b6,113
vitamin d3,113
vitamin b12,113
e460_i,113
các khoáng chất,113
lúa mạch,112
màu thực phẩm,112
k1,112
bột kem không sữa,111
bột nghệ,111
e160c_i,111
bơ cacao,111
hương liệu tổng hợp dùng cho thực phẩm,110
thịt bò,110
bột ca cao,109
cà rốt sấy,109
kali carbonat,108
e223,107
sữa bột tách kem,106
natri hydro carbonat,106
chất xử lý bột,106
e401,105
natri carbonat,105
pentanatri triphosphat,105
e1442,104
dầu nành,104
kẽm sulfat,104
mật ong,103
e170_i,103
e640,103
chất tạo màu tổng hợp,102
đại mạch,101
bắp,100
táo,100
e420_ii,100
men,99
lactobacillus bulgaricus,99
hương,99
e1404,99
1,98
gluten,98
chanh,98
e124,97
salt,97
niacin,96
bột mỳ,96
e418,95
trứng gà,95
bột kem thực vật,94
cacao khối,94
hương giống tự nhiên,93
hương thịt tổng hợp,93
sản phẩm có chứa lúa mì,93
chất chống oxi hóa,92
cà chua cô đặc,92
mangan sulfat,92
đường glucose,91
cam,90
e341_i,90
mè,90
men streptococcus thermophilus,89
chất xơ hòa tan,88
ascorbyl palmitat,88
kali citrat,88
whey bột,87
riboflavin,87
e101_i,86
inulin,86
caramen nhóm iv,85
dầu thực vật tinh luyện,85
e1414,85
chất tạo màu,85
rau sấy,85
vitamin b1,84
chất tạo màu tự nhiên,84
bột phô mai,84
caffeine,83
chiết xuất mạch nha,83
dầu ăn,83
kali sorbat,82
e476,82
calci d pantothenat,82
axit folic,81
e127,81
natri citrat,81
sữa bò,80
dioxyd silic vô định hình,80
bột sữa gầy,79
mực,79
sản phẩm có chứa bột mì,79
e503_i,79
tricalci phosphat,79
pp,79
dầu hạt cải,78
brilliant blue fcf,77
glucose syrup,77
e477,77
phụ gia thực phẩm,77
allura red ac,77
lutein,77
gói rau,77
caramen nhóm i,77
b5,76
hương thực phẩm tổng hợp,75
bột trứng,75
chất tạo ngọt tự nhiên,74
bột hành tây,74
hương liệu giống tự nhiên,73
acid malic,73
disodium succinate,73
bột lòng đỏ trứng,73
bắp cải,73
bột đậu nành,73
xi rô glucose,73
hạt điều,73
e338,72
acesulfame potassium,72
bột năng,72
sắt pyrophosphat,72
củ sắn,72
quế,72
hương vani,71
đường kính,71
e327,71
bột thịt gà,71
sản phẩm có chứa,71
sắt,71
e405,71
đồng sulfat,71
e171,70
dextrin,70
nước tinh khiết,69
nho,69
fos,69
có chứa gluten,69
citric acid,68
rong biển,68
tiêu đen,68
dầu cá,68
taurine,67
bột kem,67
carrageenan,67
cholin,66
sản phẩm chứa các nguyên liệu có nguồn gốc từ lúa mì,66
cá cơm,66
màu thực phẩm tự nhiên,66
dha,66
e575,65
thủy sản,65
dừa,64
phô mai,64
vitamin a palmitat,64
e340_ii,63
chất tạo gel,63
đường lactose,63
bột lòng trắng trứng,63
beta caroten,62
e307c,62
hạt nêm,62
e1520,62
mono,61
dầu bắp,61
cà phê hòa tan,60
đậu xanh,60
sirô glucose,60
chiết xuất trái dành dành,60
e901,60
ng,59
bột ngọt,59
bột khoai tây,59
cọ,59
nạc heo,58
đạm whey,58
bifidobacterium,58
ngò gai,57
inositol,57
e473,57
đạm sữa,57
e282,57
thịt,57
e451,57
e1400,57
si rô glucose,57
sữa hoàn toàn từ sữa bò tươi,57
e385,56
e160a_ii,56
sữa bột tách béo,56
e491,56
vitamin b3,55
natri cacboxymethyl cellulose,55
axit citric,55
e500,55
lá chanh,55
hương bò tổng hợp,55
chiết xuất từ thực vật,55
giả thịt,55
hương chanh tự nhiên,54
vitamin b2,54
sữa bột gầy,54
protein sữa,54
đạm whey cô đặc,54
e450_ii,54
amoni hydro carbonat,54
wheat flour,54
thạch dừa,53
chất xơ,53
sô cô la,53
e326,53
bột cà chua,53
l,52
chất điều chỉnh độ chua,52
súp,52
e450,52
chất điều vị e621,52
dầu hạt cọ,52
sản phẩm có chứa đậu nành,52
sắt sulfat,52
cồn thực phẩm,51
nhân tạo,51
siro glucose,51
chất nhũ hóa e322_i,51
bơ ca cao,51
đường dextrose,50
acid ascorbic,50
chất tạo ngọt nhân tạo,50
củ cải trắng,50
đinh hương,50
hỗn hợp tocopherol,50
kẽm,50
ngò gai sấy,50
fructose,49
tương ớt,49
e200,49
khoai môn,49
e319,49
dha từ dầu cá,49
lactoza,49
tartrazin,48
dứa,48
monosodium glutamate,48
magnesi oxyd,48
mỡ bò,48
sucre,48
natri benzoat,47
e452,47
đường sucrose,47
cà phê,47
ponceau e4r,47
bột cà ri,47
thành phần có chứa,47
tỏi tươi,47
bột ngô,47
tảo biển,47
bột khoai mì,47
milk,47
nước cốt dừa,46
e339_i,46
hạt điều màu,46
ara,46
nghệ,45
e331,45
e290,45
trinatri citrat,45
d,45
ớt sấy,45
bột chiết xuất nấm men,45
e1101_i,45
hương vani tự nhiên,45
e164,45
mì,45
đường trắng,44
aspartame,44
hương sữa,44
chất điều chỉnh độ acid e330,44
hỗn hợp gia vị,44
sorbitol,44
guar gum,44
d xylose,44
b9,44
chất xơ hòa tan oligofructose,44
muối lốt,43
bột sữa nguyên kem,43
riềng,43
đạm thực vật,43
c,43
hạt phỉ,43
cần tây,43
dinatri e5 guanylat,43
dinatri e5 inosinat,43
nấm,43
disodium e5' guanylate,43
sợi mì,43
pentasodium triphosphate,43
vitamin d,42
xanthan gum,42
chất nhũ hóa lecithin,42
monosodium l glutamate,42
disodium e5' inosinate,42
đường fructose,41
bột sữa tách béo,41
hương sữa tổng hợp,41
tinh bột mì,41
bánh gạo,41
muối tinh,41
acid lactic,41
carmin,41
dấm,41
vắt phở,41
sữa bò tươi,40
có thể chứa sữa,40
xoài,40
tinh bột ngô,40
lecithin từ đậu nành,40
có chứa đậu nành,40
chất xơ từ lúa mì,40
sôcôla,40
dầu shortening,40
hương cam tự nhiên,39
e307,39
nấm mèo,39
ca cao mass,39
đạm thực vật thủy phân,39
hương dâu tổng hợp,38
hỗn hợp vitamin,38
caramen nhóm iii,38
đường cát,38
nước đường,38
hạt mè,38
bột gừng,38
shortening thực vật,38
glycerol,38
vừng,38
canxi,38
bột nếp,38
tinh bột gạo,38
starch acetate,38
đậu hà lan,37
lúa mỳ,37
diglycerid của các acid béo,37
bột quế,37
hương tỏi,37
ớt tươi,37
sirô glucoza,37
e420,37
hồi,37
cà chua dạng sệt,37
dạng hỗn hợp,37
bb 12,37
natri clorid,36
chất tạo khí carbonic,36
lysin,36
hương liệu nhân tạo,36
cải thảo,36
hải sản,36
dầu thực vật không hydro hóa,36
sản phẩm không dùng cho người dị ứng với các thành phần sau,36
đường kính trắng,36
emulsifier,36
trà đen,35
hạt sen,35
hương trái cây tổng hợp,35
nước sạch,35
me,35
hẹ,35
dextroza,35
mù tạt,35
chất làm rắn chắc,35
sữa béo,35
sản phẩm có chứa các thành phần dị ứng sau,35
e1450,35
e331_i,35
whey,35
vitamin k1,35
d biotin,35
gia vị hỗn hợp,35
hương thịt,35
hành tươi,35
nấm men,34
trà xanh,34
e960a,34
kem béo thực vật,34
gà,34
thảo mộc,34
có thể chứa vết đậu phộng,34
chất điều chỉnh acid,34
tôm khô,34
ớt bột,34
ngũ vị hương,34
bột tiêu đen,34
dầu olein,34
hương vani nhân tạo,34
e304,34
mixed tocopherol,34
sodium carbonate,34
hương cola tự nhiên,33
sản phẩm có chứa gluten,33
phẩm màu nhân tạo,33
kali sorbate,33
nấm đông cô,33
rau củ,33
gói súp,33
củ cải,33
e904,33
hương gà tổng hợp,33
với chất chống oxy hóa,33
có thể chứa đậu nành,33
dinatri e5' ribonucleotid,33
cyanocobalamin,33
dầu cá giàu dha,33
hương nước mắm tổng hợp,33
tartrazine e102,32
hỗn hợp hương tự nhiên,32
e472e,32
beta carotene,32
e508,32
skimmed milk powder,32
bơ thực vật,32
sữa chua,32
caramel,32
tinh bột sắn biến tính,32
gôm gua,32
e249,32
nho khô,32
chất điều chỉnh độ a xít,32
dl alpha tocopheryl acetat,32
niacinamid,32
dầu tinh luyện,32
hỗn hợp rau củ sấy khô,32
natri caseinat,31
dl,31
hương chanh,31
hương cà phê tổng hợp,31
hương cà phê,31
muối iod,31
đạm đậu nành thủy phân,31
saccharomyces cerevisiae,31
e516,31
hạt cây,31
thơm,31
dầu đậu nành tinh luyện,31
caroten tự nhiên,31
chất tạo phức kim loại,31
palm oil,31
hỗn hợp tocopherol tự nhiên,31
ngò rí,30
chất điều chỉnh độ axít,30
ngô,30
soya lecithin,30
bột thịt,30
dầu hào,30
sữa bột nguyên chất,30
bột thịt bò,30
canxi cacbonat,30
gelatin thực phẩm,30
sữa chua lên men tự nhiên,30
pyridoxin hydroclorid,30
dinatri succinat,30
e501,30
đậu đỏ,29
e331_ii,29
bột trà,29
calci lactat,29
tartrazine,29
e481_i,29
hương vani giống tự nhiên,29
e406,29
e341_iii,29
cốt gôm,29
hương phô mai tổng hợp,29
maltitol,29
sắt khử,29
gạo thơm,29
e639,29
e160b_ii,29
chiết xuất men,29
ớt đỏ,29
gói dầu,29
nguyên liệu vitamin e acetate,29
vắt hủ tiếu,29
caramen nhóm iv e150d,28
kali clorid,28
e224,28
bột kem sữa,28
nước ép táo,28
from milk,28
bột nguyên trứng,28
muối l ốt,28
e262_ii,28
bột sắn,28
e1440,28
hương liệu thực phẩm tổng hợp,28
sản phẩm có thể chứa sữa,28
kem sữa,28
protein thực vật thủy phân,28
có chứa chất nhũ hóa,28
e492,28
