e_number,count
e621,1762
e330,1570
e322_i,844
e627,810
e631,802
e471,702
e500_ii,699
e451_i,621
e202,589
e211,545
e415,510
e466,504
e412,488
e452_i,482
e407,468
e950,464
e500_i,461
e551,432
e450_i,417
e951,401
e321,385
e1422,348
e320,346
e110,336
e296,326
e133,318
e102,298
e331_iii,283
e160c_i,282
e501_i,257
e129,254
e440,243
e160a_i,236
e635,236
e150a,235
e262_i,235
e160c,226
e503_ii,225
e170_i,218
e1420,217
e120,211
e316,209
e955,206
e150d,203
e300,203
e100_i,201
e322,193
e475,192
e420_i,191
e422,182
e270,182
e307b,180
e364_ii,168
e250,165
e150c,163
e325,161
e410,155
e903,154
e414,151
e301,149
e450_iii,146
e1412,142
e260,135
e1442,130
e503_i,130
e304,125
e460_i,119
e101_i,116
e341_iii,115
e223,115
e516,112
e327,111
e401,108
e1404,108
e514_i,106
e418,103
e420_ii,103
e124,102
e640,101
e477,95
e341_i,93
e160a_ii,90
e515_i,89
e171,87
e476,87
e127,86
e508,78
e1414,76
e473,76
e420,75
e338,75
e405,72
e340_ii,72
e575,69
e1520,69
e901,69
e307c,66
e282,64
e500,62
e326,60
e491,58
e385,55
e200,55
e319,54
e1400,52
e518,52
e164,51
e451,51
e339_i,49
e375,49
e450_ii,49
e450,48
e392,47
e290,46
e1101_i,45
e331,44
e965_i,43
e1440,40
e406,39
e331_i,39
e452,39
e460_ii,39
e509,39
e967,39
e960a,38
e307,38
e1450,36
e332_ii,36
e160b_ii,34
e904,34
e452_ii,33
e249,33
e333_iii,33
e331_ii,32
e639,32
e339_ii,32
e472e,31
e224,30
e501,30
e122,30
e443,28
e262_ii,28
e492,28
e339_iii,28
e425,27
e162,27
e481_i,27
e941,27
e503,26
e160a_iv,25
e160b_i,24
e141_ii,24
e170_ii,24
e620,23
e262,23
e470_iii,23
e334,23
e302,23
e132,23
e101_iii,23
e160a_iii,22
e341_ii,22
e307a,20
e1100,20
e344,19
e504_i,19
e511,19
e332_i,19
e900a,19
e234,19
e141_i,18
e339,18
e1200,18
e470_i,18
e143,18
e101,17
e417,17
e100,17
e525,16
e340,16
e1401,16
e163_vi,16
e407a,15
e123,15
e1104,15
e1100_i,15
e433,14
e221,14
e470_ii,13
e281,13
e261_i,13
e340_i,13
e341,12
e220,12
e163_ii,12
e965,12
e212,12
e472d,11
e435,10
e965_ii,10
e163_iii,10
e163_v,10
e470,10
e150,10
e153,9
e315,9
e170,9
e472a,9
e1403,9
e460,8
e501_ii,8
e263,8
e1204,8
e472f,8
e163_vii,8
e461,8
e329,8
e514,8
e297,8
e952_iv,8
e500_iii,8
e160a,8
e540,8
e470b,8
e479b,7
e521,7
e441,7
e421,7
e520,7
e445_iii,7
e481,7
e386,6
e953,6
e100_ii,6
e1451,6
e450_v,6
e163,6
e161b_ii,6
e578,6
e515,6
e470a,6
e1100_iii,5
e519,5
e400,5
e350,5
e451_ii,5
e517,5
e160b,5
e1210,5
e553_iii,5
e999,5
e637,5
e522,5
e445,5
e442,5
e1001,4
e332,4
e201,4
e576,4
e1102,4
e623,4
e160d,4
e222,4
e236,4
e265,4
e284,4
e160e,4
e391,4
e350_ii,4
e266,4
e526,4
e337,4
e513,4
e472c,4
e570,4
e163_iv,4
e364,3
e142,3
e128,3
e510,3
e160d_i,3
e210,3
e424,3
e960b_i,3
e907,3
e172_i,3
e482_i,3
e1405,3
e536,3
e310,3
e303,3
e1518,3
e920,2
e628,2
e930,2
e350_i,2
e345,2
e237,2
e530,2
e473a,2
e111,2
e1101_ii,2
e961,2
e335,2
e356,2
e529,2
e472b,2
e580,2
e577,2
e235,2
e203,2
e452_iv,2
e365,2
e140,2
e541_i,2
e459,2
e541,2
e251,2
e954_iv,2
e579,2
e527,2
e163_viii,2
e172_ii,2
e172_iii,2
e625,2
e552,1
e925,1
e125,1
e465,1
e230,1
e180,1
e942,1
e252,1
e968,1
e351,1
e482,1
e507,1
e363,1
e416,1
e141,1
e494,1
e478,1
e504,1
e355,1
e155,1
e464,1
e452_iii,1
e1103,1
e413,1
e430,1
e152,1
e161b,1
e450_vii,1
e160d_ii,1
e342_i,1
e914,1
e165,1
e966,1
e241,1
e107,1
e403,1
e366,1
e622,1
e1421,1
e1410,1
e554,1
e161b_i,1
e431,1
e912,1
