other_ingredients,count
đường,4631
muối,3388
nước,2566
chất điều vị,2359
chất ổn định,1902
chất điều chỉnh độ acid,1820
chất nhũ hóa,1647
bột mì,1456
dầu thực vật,1317
chất bảo quản,1249
đậu nành,1202
dầu cọ,1096
tỏi,1016
chất chống oxy hóa,1008
sữa,907
ớt,774
chất tạo xốp,771
muối i ốt,763
chất làm dày,727
tiêu,681
maltodextrin,674
chất tạo ngọt tổng hợp,610
trứng,532
chiết xuất nấm men,471
nước mắm,466
sữa bột,465
lúa mì,465
tinh bột khoai mì,461
chất điều chỉnh độ axit,443
phẩm màu tự nhiên,431
đường tinh luyện,422
muối ăn,420
màu tự nhiên,408
hành,396
chất chống đông vón,390
gia vị,378
gạo,377
cà rốt,368
thịt heo,367
tổng hợp,360
phẩm màu tổng hợp,350
b6,348
e,329
tinh bột khoai tây,319
vắt mì,315
tinh bột bắp,312
màu thực phẩm tổng hợp,309
dầu đậu nành,297
mạch nha,290
bột ớt,288
a,288
hành tây,286
chất béo sữa,284
bơ,278
tôm,273
vitamin,269
gừng,269
d3,261
hành lá sấy,251
nước tương,251
shortening,248
bột tỏi,247
b1,244
chất béo thực vật,240
mononatri glutamat,238
chất chống oxy hoá,234
bột gạo,232
hành tím,228
bột cacao,225
cá,216
b12,216
màu tổng hợp,214
mỡ heo,212
bht,210
bột sữa,206
dinatri e5' guanylat,205
bột tôm,204
đạm đậu nành,203
hành lá,200
dinatri e5' inosinat,200
hương liệu tổng hợp,198
lactose,198
mononatri l glutamat,197
thịt gà,195
đậu phộng,193
bột tiêu,191
vani,191
xem thông tin trên bao bì sản phẩm,191
hương tổng hợp,190
bha,188
bột whey,187
vitamin c,186
chất làm dầy,185
sản phẩm có chứa sữa,181
có chứa sữa,180
chất nhũ hoá,178
hương tự nhiên,176
bột bắp,176
cà chua,176
chất làm ẩm,175
dầu cọ tinh luyện,173
giống tự nhiên,172
gelatin,171
sữa tươi,170
nước bão hòa co2,169
các vitamin,167
tinh bột,167
phẩm màu,166
acid folic,166
sucralose,166
tinh bột sắn,160
b2,159
biotin,159
chất làm bóng,158
dầu mè,156
tinh bột biến tính,154
đường mía,152
dầu dừa,151
taurin,150
dầu hướng dương,150
khoáng chất,145
các gia vị,144
b3,143
i,142
các gói gia vị,141
tự nhiên,141
hoa bia,141
bột hành,141
bột gia vị,138
hương liệu,138
yến mạch,137
bột lúa mì,137
glucose,136
hương vani tổng hợp,136
dextrose,136
vitamin e,134
kali iodid,133
gói gia vị,133
dâu,133
hương liệu tự nhiên,132
sữa bột nguyên kem,131
chất giữ ẩm,131
hạnh nhân,131
gluten lúa mì,130
muối iốt,130
vitamin a,130
natri selenit,127
sả,125
giấm,124
xirô glucoza,123
khoai tây,123
chất tạo ngọt,123
sugar,121
đường hfcs,120
màu thực phẩm,120
protein đậu nành,117
vitamin d3,117
bột nước tương,116
chiết xuất ớt,114
ngũ cốc,114
chất xử lý bột,114
vitamin b12,113
các khoáng chất,113
vitamin b6,113
caramen nhóm iv,113
lúa mạch,112
k1,112
bột kem không sữa,111
bột ca cao,111
bột nghệ,111
bơ cacao,111
thịt bò,110
hương liệu tổng hợp dùng cho thực phẩm,110
cà rốt sấy,109
chất tạo màu tổng hợp,108
sữa bột tách kem,106
dầu nành,104
kẽm sulfat,104
chất chống oxi hóa,104
1,103
mật ong,103
đại mạch,101
táo,100
lactobacillus bulgaricus,99
hương,99
men,99
bắp,99
ii,99
chanh,98
gluten,98
salt,97
mè,97
niacin,96
chất tạo màu tự nhiên,96
bột mỳ,96
trứng gà,95
bột kem thực vật,94
cacao khối,94
sản phẩm có chứa lúa mì,93
hương thịt tổng hợp,93
hương giống tự nhiên,93
mangan sulfat,92
cà chua cô đặc,92
đường glucose,91
cam,90
bột phô mai,89
men streptococcus thermophilus,89
whey bột,88
chất xơ hòa tan,88
kali citrat,88
riboflavin,87
chiết xuất mạch nha,87
inulin,86
rau sấy,85
chất tạo màu,85
dầu thực vật tinh luyện,85
vitamin b1,84
dầu ăn,84
caffeine,83
natri citrat,82
calci d pantothenat,82
axit folic,81
mực,80
sữa bò,80
bột sữa gầy,79
pp,79
sản phẩm có chứa bột mì,79
dầu hạt cải,78
gói rau,77
lutein,77
glucose syrup,77
caramen nhóm i,77
phụ gia thực phẩm,77
b5,76
sản phẩm có chứa,76
acid malic,75
bột trứng,75
hương thực phẩm tổng hợp,75
chất tạo ngọt tự nhiên,75
khối lượng,75
bắp cải,74
màu thực phẩm tự nhiên,74
bột hành tây,74
xi rô glucose,73
bột năng,73
hương liệu giống tự nhiên,73
bột đậu nành,73
củ sắn,73
hạt điều,73
bột lòng đỏ trứng,73
sắt pyrophosphat,72
đường kính,72
quế,72
dextrin,71
sắt,71
bột thịt gà,71
hương vani,71
đồng sulfat,71
có chứa gluten,69
fos,69
nho,69
chất điều chỉnh độ chua,69
nước tinh khiết,69
tiêu đen,68
rong biển,68
dầu cá,68
cá cơm,67
taurine,67
bột kem,67
dha,66
sản phẩm chứa các nguyên liệu có nguồn gốc từ lúa mì,66
phô mai,66
cholin,66
beta caroten,65
thủy sản,65
dừa,64
vitamin a palmitat,64
đường lactose,63
ng,63
chất tạo gel,63
bột lòng trắng trứng,63
hạt nêm,62
dầu bắp,62
thịt,61
mono,61
chiết xuất trái dành dành,60
sirô glucose,60
đậu xanh,60
cọ,59
bột khoai tây,59
bột ngọt,59
axit citric,59
bifidobacterium,58
đạm whey,58
nạc heo,58
lá chanh,58
cà phê hòa tan,58
sữa hoàn toàn từ sữa bò tươi,58
ngò gai,57
inositol,57
đạm sữa,57
si rô glucose,57
sữa bột tách béo,56
l,56
chiết xuất từ thực vật,55
natri cacboxymethyl cellulose,55
d,55
hương bò tổng hợp,55
giả thịt,55
vitamin b3,55
wheat flour,54
đạm whey cô đặc,54
bột cà chua,54
protein sữa,54
nhân tạo,54
sữa bột gầy,54
hương chanh tự nhiên,54
vitamin b2,54
chất tạo ngọt nhân tạo,53
sô cô la,53
sản phẩm có chứa đậu nành,53
chất xơ,53
monosodium glutamate,53
sắt sulfat,52
dầu hạt cọ,52
súp,52
thạch dừa,51
cồn thực phẩm,51
bơ ca cao,51
siro glucose,51
từ đậu nành,51
củ cải trắng,50
kẽm,50
ngò gai sấy,50
đinh hương,50
acid ascorbic,50
hỗn hợp tocopherol,50
đường dextrose,50
lactoza,49
fructose,49
tương ớt,49
magnesi oxyd,49
ponceau e4r,49
bột cà ri,49
dha từ dầu cá,49
khoai môn,49
màu  nhân tạo,49
sucre,48
mỡ bò,48
milk,48
dứa,48
bột ngô,47
thành phần có chứa,47
tỏi tươi,47
tảo biển,47
đường sucrose,47
disodium e5' inosinate,47
disodium e5' guanylate,47
bột khoai mì,47
cà phê,47
hương sữa,47
nước cốt dừa,47
ara,46
hạt điều màu,46
c,46
dinatri e5 guanylat,45
dinatri e5 inosinat,45
e1420,45
bột chiết xuất nấm men,45
ớt sấy,45
hương vani tự nhiên,45
acid lactic,45
mì,45
nghệ,45
chất xơ hòa tan oligofructose,44
d xylose,44
b9,44
hỗn hợp gia vị,44
đường trắng,44
muối lốt,44
ins,44
hạt phỉ,43
soya,43
đạm thực vật,43
nấm,43
riềng,43
cần tây,43
sợi mì,43
bột sữa nguyên kem,43
tinh bột mì,42
monosodium l glutamate,42
vitamin d,42
muối tinh,41
dấm,41
bột sữa tách béo,41
đường cát,41
vắt phở,41
hương sữa tổng hợp,41
bánh gạo,41
đường fructose,41
sữa bò tươi,40
diglycerid của các acid béo,40
xoài,40
chất xơ từ lúa mì,40
tinh bột ngô,40
sôcôla,40
dầu shortening,40
có thể chứa sữa,40
có chứa đậu nành,40
nấm mèo,39
caramen nhóm iii,39
ca cao mass,39
hương cam tự nhiên,39
đạm thực vật thủy phân,39
canxi,39
caramel,39
shortening thực vật,38
vừng,38
hỗn hợp vitamin,38
hạt mè,38
tinh bột gạo,38
bột gừng,38
nước đường,38
hương dâu tổng hợp,38
bột nếp,38
dạng hỗn hợp,37
hồi,37
phẩm màu nhân tạo,37
cà chua dạng sệt,37
lúa mỳ,37
đường kính trắng,37
sirô glucoza,37
bột quế,37
bb 12,37
cải thảo,37
ớt tươi,37
hương tỏi,37
dầu thực vật không hydro hóa,36
chất điều chỉnh acid,36
sản phẩm không dùng cho người dị ứng với các thành phần sau,36
emulsifier,36
sữa béo,36
natri clorid,36
đậu hà lan,36
hương liệu nhân tạo,36
chất tạo khí carbonic,36
lysin,36
hải sản,36
d biotin,35
mù tạt,35
hương thịt,35
hẹ,35
sản phẩm có chứa các thành phần dị ứng sau,35
có chứa,35
chất làm rắn chắc,35
hạt sen,35
hành tươi,35
trà đen,35
vitamin k1,35
hương trái cây tổng hợp,35
me,35
whey,35
nước sạch,35
gia vị hỗn hợp,35
dextroza,35
hương vani nhân tạo,34
thảo mộc,34
gà,34
trà xanh,34
có thể chứa vết đậu phộng,34
kem béo thực vật,34
ngũ vị hương,34
ớt bột,34
tôm khô,34
dầu olein,34
nấm men,34
mixed tocopherol,34
bột tiêu đen,34
cyanocobalamin,33
sản phẩm có chứa gluten,33
dầu cá giàu dha,33
với chất chống oxy hóa,33
canxi cacbonat,33
gói súp,33
rau củ,33
beta carotene,33
chất tạo phức kim loại,33
dinatri e5' ribonucleotid,33
hương gà tổng hợp,33
củ cải,33
skimmed milk powder,33
hương cola tự nhiên,33
nấm đông cô,33
hương nước mắm tổng hợp,33
có thể chứa đậu nành,33
soy,32
dầu tinh luyện,32
hỗn hợp hương tự nhiên,32
hỗn hợp rau củ sấy khô,32
nho khô,32
tinh bột sắn biến tính,32
sữa chua,32
niacinamid,32
chất điều chỉnh độ a xít,32
dl alpha tocopheryl acetat,32
bơ thực vật,32
natri caseinat,31
đạm đậu nành thủy phân,31
disodium succinate,31
thơm,31
tinh bột đậu xanh,31
caroten tự nhiên,31
dầu đậu nành tinh luyện,31
muối iod,31
dl,31
hạt cây,31
hỗn hợp tocopherol tự nhiên,31
hương cà phê tổng hợp,31
hương chanh,31
gelatin thực phẩm,31
hương cà phê,31
saccharomyces cerevisiae,31
sữa chua lên men tự nhiên,30
dầu hào,30
pyridoxin hydroclorid,30
ngò rí,30
sữa bột nguyên chất,30
bột thịt,30
dâu tây,30
bột thịt bò,30
chất điều chỉnh độ axít,30
palm oil,30
bột trà,30
ngô,30
vắt hủ tiếu,29
sắt khử,29
cốt gôm,29
ớt đỏ,29
nguyên liệu vitamin e acetate,29
gói dầu,29
e500_i,29
e951,29
kem sữa,29
đậu đỏ,29
bột kem sữa,29
hương phô mai tổng hợp,29
hương vani giống tự nhiên,29
chiết xuất men,29
gạo thơm,29
protein thực vật thủy phân,28
nước ép táo,28
cholin clorid,28
from milk,28
canxi pantothenat,28
oligofructose,28
bổ sung vi chất,28
lecitin đậu nành,28
kali iodat,28
cocoa mass,28
có chứa chất nhũ hóa,28
caramen nguyên chất,28
cá ngừ,28
sản phẩm có thể chứa sữa,28
vanillin,28
5,28
parika oleoresin,28
chất chống động vốn,28
sản phẩm có lecithin đậu nành,28
chuối,28
bột sắn,28
lòng đỏ trứng gà,28
bột nguyên trứng,28
các loại hạt,28
muối l ốt,28
màu  tổng hợp,28
hương liệu thực phẩm tổng hợp,28
e501_i,28
bột thịt heo,27
hạt dẻ,27
mắm ruốc,27
rượu,27
gồm xanthan,27
chất gum nền,27
từ sữa,27
bột trà xanh,27
kem sulfat,27
chất giữ màu,27
dầu hướng dương giàu oleic,27
đậu tương,27
phôi cháo,27
triclorogalacto sucrose,27
sodium bicarbonate,26
tinh bột khoai tây biến tính,26
hương liệu giống tự nhiên dùng cho thực phẩm,26
hương gà,26
malt đại mạch,26
được sản xuất trên dây chuyền sản xuất các loại bánh,26
đường phèn,26
nước cốt xương thịt,26
thịt cá tra,26
si rô,26
dextrose monohydrate,26
cua,26
sel,26
đào,26
dinatri e5',26
hương bò,26
ngò rí sấy,26
hương chanh tổng hợp,26
khoảng chất,26
bột mực,25
acesulfame k,25
phúc bồn tử,25
gos,25
chiết xuất từ đậu nành,25
hương nhân tạo,25
tinh bột bắp biến tính,25
oligosaccharid,25
bột trứng gà,25
hương tỏi tổng hợp,25
lý chua đen,25
sucrose,25
súp gia vị,25
hương hành,25
canxi carbonat,25
kem,25
0,25
tocopherol concentrat,25
water,25
đường nâu,25
myo inositol,24
hương dừa,24
từ dầu cá,24
không sử dụng chất bảo quản,24
nguyên liệu thực phẩm,24
chất nhũ hóa từ đậu nành,24
trái cây,24
chiết xuất trà xanh,24
sản phẩm có chứa cá,24
nước muối,24
chiết xuất hạt mù tạt,24
sữa tách kem,24
dịch chiết xuất từ cá,24
thịt cá,24
hỗn hợp,24
silicon dioxide,24
thảo quả,24
hạt hướng dương,24
caramen,24
hương tiêu,24
sodium chloride,24
chiết xuất từ ớt,24
hương cam tổng hợp,24
canxi d pantothenat,24
lúa mạch đen,24
mạch nha maltose,24
bạc hà,24
cholin bitartrat,24
chất làm đầy,24
đường mía re,24
thiamin hydroclorid,24
j,23
tinh bột lúa mì,23
kẽm sunphat,23
gạo japonica,23
hương dâu,23
xi rô glucose fructose,23
hạt hạnh nhân,23
tinh bột đậu hà lan,23
hương dâu tự nhiên,23
bột sữa tách kem,23
bột ngũ cốc,23
vải,23
có thể chứa trứng,23
lá trà xanh,23
hương vị nhân tạo,23
axit xitric,23
chất chống tạo bọt,23
surimi,23
ascorbic acid,22
natri caseinate,22
acesulfame kali,22
cocoa butter,22
k2,22
sữa đặc,22
màu,22
whey giàu alpha lactalbumin,22
robusta,22
2 fucosyllactose,22
vẩy khoai tây,22
mạch nha glucose,22
casein,22
lạc,22
inosinat,22
đường mạch nha,22
chất khô từ sữa,22
dinatri guanosin e5 monophosphat,22
chiết xuất lúa mạch,22
việt quất,22
cà phê rang xay nhuyễn,22
nguyên liệu có chứa sữa,22
bột sữa dừa,21
xiro glucose,21
bột rau câu,21
hoa houblon,21
caramen amoni,21
hương bơ,21
da heo,21
e452_i,21
sirô fructose,21
khoai lang,21
adenosin e5 monophosphat,21
acidity regulator,21
wheat,21
cải thảo muối,20
màu caramel,20
glucoza,20
whey powder,20
cholecalciferol,20
isomalt,20
kẽm oxyd,20
trứng tươi,20
các sản phẩm từ sữa,20
hương sô cô la,20
húng quế,20
tiểu hồi,20
dịch trích từ đậu nành hạt,20
probiotics,20
bột chiên xù,20
chiết xuất thịt bò,20
hạt chia,20
gừng tươi,20
gói xốt,20
vắt miến,20
bột cá,20
hương bạc hà tự nhiên,20
cải bó xôi,20
hướng dương,20
bột cà phê,20
hương vị tự nhiên,20
bột xì dầu,20
tocopherol,20
hạt tiêu,20
nước ép táo cô đặc,20
xúc xích,20
bột dừa,20
mangan sunphat,19
su hào,19
vitamin nhóm b,19
dầu hướng dương tinh luyện,19
gói tương ớt,19
chứa chất chống oxi hóa tbhq,19
dầu ớt,19
bột whey khử khoáng,19
såt sulfat,19
bột nở,19
l carnitin,19
bột chiết xuất sườn heo,19
thành phần,19
men bia,19
chất tạo màu beta caroten tổng hợp,19
bột hạnh nhân,19
enzym transglutaminase,19
thực vật,19
gói sốt,19
sản phẩm có thể chứa đậu nành,19
bột wasabi,19
cacao,19
bí đỏ,19
chất mang,19
xirô fructoza,19
hương tổng hợp dùng trong thực phẩm,19
sản phẩm có chứa trứng,19
natri selenat,19
thịt cá basa,19
chất chống đồng vón,19
dinatri uridin e5 monophosphat,18
dl alpha tocopherol,18
gạo lứt,18
muối biển,18
củ dền,18
e451_i,18
bột yến mạch,18
thịt gà tươi,18
cider,18
hương rau tổng hợp,18
dinatri inosin e5 monophosphat,18
bột sữa chua,18
cam thảo,18
bột gia vị thịt heo,18
tôi,18
sắt pyrophotphat,18
e551,18
bột,18
sữa không béo,18
chất ngọt tổng hợp,18
tiêu trắng,18
đầu cọ,18
chất điều vị mononatri glutamat,18
hỗn hợp cà phê hòa tan,18
natri carbonat,18
được sản xuất trên cùng thiết bị,18
sodium citrate,18
giáp xác,18
sản phẩm có chứa sulfite,18
guanylat,18
tricanxi photphat,18
cà phê arabica,18
chất nhũ hóa lecithin đậu nành,18
sữa bột béo,18
khoai tây chiên,18
dầu bơ,18
tủy,18
cytidin e5 monophosphat,18
nguyên liệu,18
chất tạo màu paprika oleoresin tự nhiên,18
nho đen,17
bột lúa mì nguyên cám,17
cà rốt khô,17
vitamin b5,17
ớt chuông,17
vitamin e acetat,17
đường trehalose,17
heo,17
dầu olein tinh luyện,17
các chất có thể gây dị ứng,17
hương cam,17
tocopherol concentrate,17
hành lá khô,17
sirô bắp,17
nicotinamide,17
hương nước tương tổng hợp,17
nước cốt xương hầm,17
e500_ii,17
caramel i plain,17
mạch nha isomalto oligo,17
xương heo,17
spices,17
dầu cám gạo,17
đầu nành,17
màng bọc collagen,17
hỗn hợp chất nhũ hóa,17
contain milk,17
bắp sấy,17
nạc bò,17
bơ sữa,17
dicanxi phosphat,17
chất làm rắn,17
cá tra,17
hương tổng hợp dùng cho thực phẩm,17
sản phẩm chứa nguyên liệu có nguồn gốc từ sữa,17
chất điều vi,17
vỏ cam,17
gia vị phở,17
dong sulfat,17
huile de palme,17
bò,17
chất ổn định dùng cho thực phẩm,17
2 fl,17
nước táo lên men với sucrose,17
hương vani tổng hợp dùng cho thực phẩm,17
sôcôla sữa,17
chanh dây,17
sữa tách béo,17
thì là,16
sốt cà chua,16
yogurt,16
khuẩn sữa lactobacillus casei,16
nước hầm xương,16
hương sữa tự nhiên,16
sản phẩm,16
hương dừa tổng hợp,16
hương cam tổng hợp dùng cho thực phẩm,16
hương dâu tổng hợp dùng cho thực phẩm,16
maltose,16
arabica,16
kim chi,16
da bánh,16
mỹ,16
muối tốt,16
chất xơ thực phẩm,16
chất xơ yến mạch,16
lòng trắng trứng,16
rau răm,16
dicalci phosphat,16
transglutaminase,16
hương táo,16
rau,16
gan heo,16
bột bơ sữa,16
dừa sấy,16
bột rau củ,16
sản phẩm từ đậu nành,16
bột cari súp,16
chất điều chỉnh độ ph,16
tinh bột xử lý oxy hoá,16
bột gia vị tương đen,16
bột sữa whey,16
sữa bò tươi nguyên chất,16
hoặc trên dây chuyền chế biến các sản phẩm có thành phần gây dị ứng như,16
mè trắng,16
có thể chứa đậu phộng,16
bột ngũ vị hương,16
hương đào,16
đại hồi,16
tinh dầu ớt,16
bột sữa nguyên chất,16
thành phần chính,16
hương hải sản tổng hợp,15
rượu trắng,15
k,15
bột béo,15
soy sauce,15
hỗn hợp protein lòng trắng trứng,15
trà ô long,15
nước ép đào,15
dầu hạt hướng dương,15
thịt ức gà,15
vanilin,15
nước đá,15
bifidobacterium lactis,15
dầu gạo,15
lòng đỏ trứng,15
chiết xuất rau củ quả tươi,15
bột gluten,15
natri clorua,15
bột mi,15
xirô glucose,15
chiết xuất mạch nha từ lúa mạch,15
e466,15
sắt sunphat,15
glycerin,15
hương thực phẩm tự nhiên,15
bánh tráng,15
phô mai mozzarella,15
iii,15
kẽm sulphat,15
glucono delta lacton,15
hẹ sấy,15
tảo,15
tapioca starch,15
nước cốt chanh,15
đậu trắng,15
bột giấm,15
chứa,15
thiamin mononitrat,15
hành phi,15
tương cà,15
sulfite,15
sò điệp,15
yeast extract,15
docosahexaenoic acid,15
bột gia vị phô mai,15
gạo trắng,15
bột nêm,15
hạt mỡ,15
chất xơ hòa tan inulin,15
émulsifiant,14
xi rô ngô,14
ammonium bicarbonate,14
có nguồn gốc thực vật,14
nước ép trái cây cô đặc,14
gelatine,14
paprika,14
tương đậu nành,14
ruột collagen,14
bánh quy,14
lá mùi tàu,14
men khô,14
hương chanh giống tự nhiên,14
vitamin k,14
nước cốt bò,14
hạt rau mùi,14
tricanxi phosphat,14
rượu mai quế lộ,14
gluten bột mì,14
đạm thực vật thuỷ phân,14
gói rau sấy khô,14
vắt bún,14
lê,14
cà phê robusta,14
aspartam,14
mè đen,14
nước ép cam,14
e475,14
nước ép trái cây,14
chiết xuất từ mầm lúa mạch,14
natri molybdat,14
chất chống oxy hóa tự nhiên,14
củ hành,14
fructo oligosaccharid,14
dầu gia vị,14
huile de tournesol,14
bb 12tm,14
bột cốt dừa,14
acesulfam k,14
colostrum,14
hương hành tổng hợp,14
vanilla,14
hạt sôcôla,14
yến mạch nguyên chất,14
hành tím phi,14
cà ri,14
hương kem,14
sô cô la sữa,14
protein lúa mì,14
men lactic,14
blackcurrant,14
xirô ngô nồng độ fructose cao,14
hương trái cây tự nhiên,14
chất nhũ hóa dùng trong thực phẩm,14
gạo nếp,14
chất chống động vón,14
bột kem béo thực vật,13
